UniqueID,disbursed_amount,asset_cost,ltv,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,MobileNo_Avl_Flag,Aadhar_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default
649468,29529,67795,44.25,23936,45,5634,04/02/1978,Self employed,31/10/2018,3,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
476198,52303,70065,77.07,22056,45,4969,01/02/1985,Salaried,18/12/2016,3,1,1,0,0,1,823,A-Very Low Risk,11,5,0,105079,268566,252977,6091,0,0,3yrs 1mon,10yrs 5mon,0,0
478555,43949,66136,68.95,16309,45,7093,02/08/1997,Salaried,18/12/2016,10,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1379,0,0,0yrs 7mon,0yrs 7mon,0,0
649481,50303,69580,73.3,14078,45,30,01/01/1973,Self employed,31/10/2018,1,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
649734,50946,80142,66.27,22594,49,5929,01/01/1982,Self employed,31/10/2018,3,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
649858,69817,115670,62.25,15406,48,5868,01/01/1983,Self employed,31/10/2018,3,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
650033,66394,77205,89.89,21082,120,4806,21/05/1964,Self employed,31/10/2018,19,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
650465,61247,84427,74.98,24793,49,6802,03/03/1996,Self employed,31/10/2018,13,1,0,1,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
650536,46645,74021,64.17,22971,45,6874,12/03/1977,Self employed,31/10/2018,13,1,0,1,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
493351,88389,132703,67.82,23526,67,373,20/09/1980,Salaried,05/03/2017,11,1,1,0,0,0,836,A-Very Low Risk,2,0,0,0,0,0,0,0,1,2yrs 6mon,3yrs 7mon,0,0
650856,53303,83061,66.22,23137,86,7206,01/01/1992,Self employed,31/10/2018,7,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
650880,72717,125080,59.88,14851,48,5340,01/04/1990,Self employed,31/10/2018,3,1,1,0,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
495604,56259,65074,89.13,21556,45,771,29/12/1990,Salaried,16/03/2017,18,1,1,0,0,0,818,A-Very Low Risk,1,0,0,0,0,0,2650,0,1,1yrs 4mon,1yrs 4mon,0,1
497252,51078,62600,84.66,14180,86,43,14/02/1985,Salaried,27/03/2017,1,1,1,0,0,0,829,A-Very Low Risk,2,0,0,0,0,0,0,0,0,1yrs 3mon,1yrs 7mon,0,0
650937,51903,78699,68.11,23125,51,7142,01/01/1990,Self employed,31/10/2018,10,1,0,1,0,0,0,I-Medium Risk,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
439590,49078,68900,74.02,16794,120,4416,13/12/1971,Self employed,25/06/2016,8,1,1,1,0,0,674,F-Low Risk,3,1,0,82457,78000,78000,0,0,0,0yrs 8mon,1yrs 1mon,3,0
653137,44249,65817,69.13,22927,45,2702,18/03/1989,Self employed,31/10/2018,4,1,1,0,0,0,541,J-High Risk,5,3,1,40080,48012,48012,7359,2,1,0yrs 4mon,0yrs 7mon,1,0
501911,47349,60900,80.46,21305,86,32,01/01/1973,Salaried,10/05/2017,1,1,1,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,3440,0,0,1yrs 0mon,1yrs 0mon,0,1
502871,59259,75900,79.05,23505,51,3342,05/03/1989,Salaried,10/05/2017,9,1,0,1,0,0,825,A-Very Low Risk,2,1,0,12488,30000,30000,4216,0,0,1yrs 0mon,1yrs 1mon,0,0
653304,52299,68699,78.6,15077,86,6779,01/10/1974,Self employed,31/10/2018,13,1,0,1,0,0,524,J-High Risk,2,2,0,65919,104000,104000,1041,1,1,1yrs 6mon,3yrs 1mon,1,0
646338,96040,145631,67.29,22656,49,2424,29/06/1968,Self employed,31/10/2018,4,1,1,0,0,0,300,M-Very High Risk,3,2,1,2799200,2097500,2097500,383215,1,1,1yrs 6mon,3yrs 3mon,0,1
507957,52578,62000,87.9,23192,45,2386,28/03/1986,Salaried,12/06/2017,4,1,1,0,0,0,832,A-Very Low Risk,2,0,0,0,0,0,5,0,0,0yrs 4mon,0yrs 6mon,0,0
648774,65340,92340,72.34,16596,86,4412,05/07/1996,Self employed,31/10/2018,8,1,1,0,0,0,300,M-Very High Risk,2,2,1,20367,48990,48990,4632,1,1,1yrs 1mon,1yrs 11mon,3,1
653750,53003,68351,79.74,14005,45,89,28/05/1966,Self employed,31/10/2018,1,1,1,1,0,0,300,M-Very High Risk,2,1,2,9056,14900,14900,2708,1,1,0yrs 2mon,0yrs 5mon,0,1
517224,47242,65025,78.74,16846,45,2610,01/01/1980,Salaried,26/07/2017,4,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1522,0,0,0yrs 7mon,0yrs 7mon,0,0
645834,51803,63099,83.99,14360,51,57,07/07/1996,Self employed,31/10/2018,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 2mon,0yrs 6mon,0,0
646503,51303,68710,77.14,23372,86,735,01/01/1984,Self employed,31/10/2018,18,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
646548,69638,102305,71.07,23234,51,5443,08/12/1968,Self employed,31/10/2018,3,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
521455,69123,113000,62.39,22699,120,2394,12/05/1986,Salaried,06/08/2017,4,1,1,0,0,0,809,A-Very Low Risk,3,2,0,574438,1690000,1672619,0,0,0,4yrs 4mon,6yrs 3mon,0,0
523934,40394,89212,45.96,13890,86,4960,25/01/1981,Salaried,06/08/2017,3,1,1,0,0,0,825,A-Very Low Risk,4,0,0,0,0,0,0,0,0,0yrs 10mon,0yrs 11mon,0,0
525184,53913,65857,84.88,15979,86,1325,13/05/1980,Salaried,17/08/2017,6,1,1,0,0,0,845,A-Very Low Risk,2,0,0,0,0,0,2082,0,0,1yrs 0mon,1yrs 6mon,0,0
653539,45111,62320,74.94,18471,48,5702,18/09/1994,Self employed,31/10/2018,3,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
653550,49278,81079,62.28,22764,86,1731,10/11/1956,Self employed,31/10/2018,4,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
653552,79079,113536,70.46,23799,51,1654,12/07/1996,Self employed,31/10/2018,4,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
529121,51803,60200,88.87,23098,45,1551,01/01/1988,Salaried,08/09/2017,6,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,2540,0,0,1yrs 0mon,1yrs 0mon,1,0
531137,48349,67450,74.13,14078,45,31,12/06/1977,Salaried,19/09/2017,1,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,2334,0,0,0yrs 9mon,0yrs 9mon,0,0
648739,49042,68200,74.95,16845,51,2048,01/06/1983,Self employed,31/10/2018,4,1,1,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),2,1,1,151905,150000,150000,0,2,0,0yrs 1mon,0yrs 2mon,0,0
652949,55359,64411,87.25,16234,86,411,12/08/1981,Self employed,31/10/2018,11,1,1,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),1,1,0,0,0,0,0,0,0,1yrs 1mon,1yrs 1mon,2,0
533748,58913,69742,85.89,15142,86,1045,16/04/1993,Salaried,30/09/2017,6,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1550,0,0,0yrs 6mon,0yrs 6mon,1,0
646923,122223,181962,69.79,14114,67,32,01/01/1982,Self employed,31/10/2018,1,1,1,0,1,0,17,Not Scored: Not Enough Info available on the customer,2,1,0,181900,181900,181900,0,2,0,0yrs 2mon,0yrs 3mon,0,1
650733,40394,69356,60.56,13928,45,6248,01/01/1973,Self employed,31/10/2018,5,1,1,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,42000,42000,42000,0,1,0,0yrs 0mon,0yrs 0mon,0,0
651947,52003,66840,79.29,22335,45,1871,15/01/1974,Self employed,31/10/2018,4,1,1,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,53000,53000,53000,0,1,0,0yrs 0mon,0yrs 0mon,0,1
652364,57759,71625,82.37,24574,45,7302,02/06/1993,Self employed,31/10/2018,7,1,1,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,59000,59000,59000,0,1,0,0yrs 0mon,0yrs 0mon,0,1
539718,84489,115279,74.6,14123,48,3785,16/08/2000,NA,11/10/2017,8,1,1,0,0,0,811,A-Very Low Risk,4,0,0,0,0,0,0,0,0,0yrs 6mon,0yrs 9mon,0,0
540733,58259,69170,85.3,23894,45,3741,20/05/1968,Salaried,22/10/2017,8,1,1,0,0,0,814,A-Very Low Risk,19,7,0,1246681,1955500,1845565,0,0,0,1yrs 8mon,7yrs 2mon,0,0
648327,45849,62474,74.43,22463,45,907,01/06/1988,Self employed,31/10/2018,6,1,1,0,0,0,14,Not Scored: Only a Guarantor,2,1,0,740600,640000,640000,37300,1,0,2yrs 6mon,4yrs 11mon,0,0
543839,47533,74816,68.84,21347,86,2588,01/01/1991,Salaried,02/11/2017,4,1,0,1,0,0,836,A-Very Low Risk,1,0,0,0,0,0,2547,0,0,2yrs 4mon,2yrs 4mon,0,0
652212,51953,80924,66.61,21043,86,3663,24/05/1997,Self employed,31/10/2018,9,1,1,0,0,0,15,Not Scored: Sufficient History Not Available,2,2,0,37258,46590,46590,0,2,0,0yrs 0mon,0yrs 0mon,0,1
653991,66382,79460,84.95,22971,45,6877,01/10/1978,Self employed,31/10/2018,13,1,0,1,0,0,15,Not Scored: Sufficient History Not Available,2,2,0,44709,46636,45062,3131,2,0,0yrs 2mon,0yrs 3mon,5,0
547333,62447,71151,89.95,23355,86,1825,23/07/1990,Salaried,13/11/2017,4,1,1,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,0,1yrs 3mon,1yrs 4mon,0,1
547393,53813,70431,79.23,22561,45,2381,01/01/1981,Salaried,13/11/2017,4,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0yrs 7mon,0yrs 7mon,0,0
550032,65382,78457,84.76,22928,86,2578,01/01/1990,Salaried,13/11/2017,4,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,885,0,0,0yrs 8mon,0yrs 8mon,0,0
439868,58808,67924,89.07,15663,86,3399,10/06/1972,Self employed,17/07/2016,9,1,1,0,0,0,836,A-Very Low Risk,2,0,0,0,0,0,2467,0,0,1yrs 4mon,1yrs 8mon,0,0
551319,59413,67819,89.95,17530,86,1491,16/02/1984,Salaried,24/11/2017,6,1,1,0,0,0,811,A-Very Low Risk,2,0,0,0,0,0,28000,0,0,0yrs 10mon,1yrs 1mon,0,1
552096,56659,66922,86.67,22350,86,1518,15/08/1984,Salaried,24/11/2017,6,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,2527,0,0,0yrs 6mon,0yrs 6mon,0,0
642435,50683,64134,84.2,22417,51,12,30/08/1987,Self employed,20/10/2018,1,1,1,0,1,0,836,A-Very Low Risk,5,0,0,0,0,0,3561,0,0,1yrs 7mon,3yrs 4mon,0,1
640640,36439,49520,74.72,24727,51,701,12/10/1989,Self employed,20/10/2018,15,1,1,0,0,0,738,C-Very Low Risk,1,1,0,15663,26845,26845,2360,1,0,0yrs 5mon,0yrs 5mon,3,0
644889,60213,71600,85.2,15142,86,996,12/12/1993,Self employed,20/10/2018,6,1,0,1,0,0,708,D-Very Low Risk,7,3,0,122452,275499,275499,3686,2,0,0yrs 8mon,1yrs 11mon,1,0
564064,64482,73813,89.42,22708,86,2697,25/10/1995,Salaried,03/03/2018,4,1,1,0,0,0,821,A-Very Low Risk,4,2,0,2302,39906,9163,1399,0,0,1yrs 1mon,2yrs 6mon,0,0
641756,65069,73757,89.48,23475,51,305,12/12/1994,Self employed,20/10/2018,11,1,1,0,0,0,651,F-Low Risk,6,4,0,159163,213932,213932,12100,3,0,0yrs 4mon,0yrs 7mon,2,1
640607,58559,74366,80.68,21980,86,3017,28/12/1987,Self employed,20/10/2018,14,1,1,0,0,0,621,H-Medium Risk,2,2,0,57801,75000,75000,26890,1,0,0yrs 4mon,0yrs 7mon,0,0
568006,50078,72037,70.8,20379,86,7129,16/11/1983,Salaried,14/03/2018,10,1,1,0,0,0,825,A-Very Low Risk,4,0,0,0,0,0,3834,1,0,0yrs 9mon,1yrs 1mon,7,0
568301,55359,71197,79.92,17684,45,1448,18/06/1982,Salaried,25/03/2018,6,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1426,0,0,0yrs 10mon,0yrs 10mon,0,0
643386,49049,75190,66.5,23309,51,299,01/01/1978,Self employed,20/10/2018,11,1,1,0,0,0,556,J-High Risk,9,4,1,989543,1297490,1297490,37366,0,2,1yrs 0mon,3yrs 1mon,0,1
640674,49145,63990,78.14,23321,86,727,01/01/1982,Self employed,20/10/2018,18,1,1,0,0,0,517,K-High Risk,1,1,1,60032,0,0,8348,0,0,5yrs 7mon,5yrs 7mon,0,0
574151,50802,63393,84.87,20333,45,1235,01/06/1965,Salaried,16/04/2018,6,1,1,0,0,0,825,A-Very Low Risk,4,0,0,0,0,0,5853,0,0,1yrs 4mon,1yrs 7mon,0,0
641626,62213,71050,88.67,23092,45,551,01/01/1988,Self employed,20/10/2018,15,1,1,0,0,0,339,L-Very High Risk,6,4,1,109126,408600,408600,6992,0,1,1yrs 1mon,3yrs 1mon,2,1
580789,52304,63021,85.69,13448,86,326,01/01/1966,Salaried,08/05/2018,11,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0yrs 9mon,0yrs 9mon,0,0
582358,54758,71244,82.11,21013,86,7126,16/10/1979,NA,19/05/2018,10,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1620,0,0,2yrs 1mon,2yrs 1mon,0,0
642723,75751,104184,73.91,23386,51,7133,01/01/1984,Self employed,20/10/2018,10,1,1,0,0,0,300,M-Very High Risk,1,1,1,21917,30000,30000,1620,0,0,2yrs 2mon,2yrs 2mon,0,1
439908,59211,70446,90,15685,86,1863,15/02/1970,Self employed,17/07/2016,4,1,1,0,0,0,300,M-Very High Risk,1,1,1,4594,12689,12689,2115,0,1,0yrs 8mon,0yrs 8mon,0,0
589776,56659,69180,83.84,22727,45,1482,12/04/1973,Salaried,02/07/2018,6,1,0,0,1,0,825,A-Very Low Risk,4,0,0,0,0,0,0,0,0,1yrs 6mon,3yrs 3mon,0,0
639774,53578,71200,77.25,21846,86,5707,08/01/1965,Self employed,20/10/2018,3,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
593697,57259,74291,78.07,15142,86,992,01/01/1992,Salaried,13/07/2018,6,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1565,0,0,0yrs 6mon,0yrs 6mon,0,0
595614,36269,50500,77.23,16277,45,603,26/03/1981,Salaried,13/07/2018,15,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1034,0,0,0yrs 6mon,0yrs 6mon,0,0
597118,36475,76500,49.28,24013,51,2391,01/06/1981,Salaried,24/07/2018,4,1,1,0,0,0,825,A-Very Low Risk,3,1,0,45206,50000,50000,3984,0,0,1yrs 5mon,2yrs 11mon,0,0
597771,58759,73140,82.03,14690,86,1660,13/08/1988,Salaried,24/07/2018,4,1,1,0,0,0,825,A-Very Low Risk,5,0,0,0,0,0,6806,0,0,0yrs 7mon,0yrs 11mon,0,0
599109,58259,109934,54.58,17049,48,3760,24/02/1987,Salaried,24/07/2018,8,1,1,0,0,0,853,A-Very Low Risk,7,3,0,544661,784000,739375,7388,0,0,1yrs 6mon,4yrs 5mon,0,0
446115,62457,88421,74.19,17143,48,1932,01/06/1971,Salaried,28/07/2016,4,1,1,0,0,0,710,D-Very Low Risk,4,2,0,311416,327000,327000,0,2,0,1yrs 4mon,3yrs 11mon,0,1
640840,61447,75738,83.18,23148,45,5136,17/05/1990,Self employed,20/10/2018,3,1,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
641364,40595,75359,56,17272,45,6844,15/01/1996,Self employed,20/10/2018,13,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
641595,55459,66978,83.91,24532,120,738,01/01/1989,Self employed,20/10/2018,18,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,0
607719,58973,65532,94.61,23643,86,3343,04/06/1966,Salaried,04/08/2018,9,1,1,0,0,0,853,A-Very Low Risk,10,5,0,2288470,3312192,3068344,3150,1,0,3yrs 4mon,8yrs 9mon,1,0
608812,54159,62150,89.3,22727,45,1514,13/09/1997,Salaried,04/08/2018,6,1,1,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,4093,0,0,0yrs 7mon,0yrs 7mon,0,0
443004,52403,62955,85.78,17742,45,2797,01/01/1971,Salaried,28/07/2016,2,1,1,0,0,0,300,M-Very High Risk,6,4,4,1815161,1655000,1655000,41071,0,0,5yrs 2mon,10yrs 8mon,0,0
641753,55841,70341,81.03,14145,86,3316,01/01/1988,Self employed,20/10/2018,9,1,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
641821,63613,78250,83.07,15642,120,3323,02/05/1996,Self employed,20/10/2018,9,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
642517,88239,120200,74.88,23550,48,1694,14/04/1995,Self employed,20/10/2018,4,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
