UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default
569129,114442,172309,69.64,1,12797,67,4933,03/09/1986,Self employed,11/10/2018,3,802,1,1,1,1,0,0,553,J-High Risk,20,7,1,1477890,1702923,1702923,38748,1,1,1yrs 1mon,2yrs 11mon,0,1
460434,110067,165800,69.36,68,18105,67,854,01/01/1990,Salaried,24/08/2018,6,1672,1,1,0,0,0,0,738,C-Very Low Risk,3,1,0,4630,9270,9270,4339,1,0,0yrs 5mon,0yrs 7mon,0,1
551602,109553,188711,60.41,1,12797,67,4913,10/04/1974,Self employed,30/09/2018,3,1101,1,0,1,1,0,0,784,B-Very Low Risk,3,2,0,293490,394570,394570,0,1,0,0yrs 11mon,1yrs 9mon,0,0
438364,107463,159114,69.99,85,23002,67,1952,15/08/1969,Self employed,14/08/2018,4,983,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
652462,98808,166651,61.81,48,22645,67,6360,18/08/1985,Salaried,31/10/2018,5,1571,1,1,0,0,0,0,555,J-High Risk,4,4,0,28450,102800,102800,6141,1,0,1yrs 8mon,3yrs 4mon,0,1
478442,98489,136000,73.53,2,23277,49,2389,02/11/1989,Salaried,30/08/2018,4,1070,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
507361,98390,141638,70.53,20,23945,49,6209,30/09/1989,Salaried,15/09/2018,5,1482,1,0,0,1,0,0,785,B-Very Low Risk,3,3,0,37774,129000,123207,0,2,0,0yrs 3mon,0yrs 6mon,1,0
428064,98000,137000,72.92,2,14770,49,1631,26/10/1984,Self employed,08/08/2018,4,237,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
550330,97990,112010,88.83,2,15899,86,1651,18/08/1991,Self employed,29/09/2018,4,179,1,1,0,0,0,0,709,D-Very Low Risk,1,1,0,21952,25000,27730,0,0,0,1yrs 8mon,1yrs 8mon,0,1
634673,97899,160025,61.87,1,21750,49,5092,09/08/1995,Self employed,28/10/2018,3,5,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
444484,97390,145952,68.45,77,23516,49,2116,01/06/1970,Self employed,17/08/2018,4,223,1,1,0,0,0,0,761,B-Very Low Risk,2,1,0,78907,0,0,0,0,0,1yrs 0mon,1yrs 11mon,0,0
483771,96990,156994,63.38,65,23039,67,6814,01/10/1981,Self employed,31/08/2018,13,1485,1,0,0,1,0,0,16,Not Scored: No Activity seen on the customer (Inactive),4,1,0,55643,120000,120000,20488,0,0,1yrs 1mon,1yrs 10mon,0,1
575406,96898,147442,67.15,104,23021,67,7057,01/01/1972,Self employed,13/10/2018,10,1987,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,1700000,2.00E+06,2.00E+06,24456,1,0,0yrs 3mon,0yrs 3mon,1,1
455832,96490,142410,69.52,103,22879,49,6977,02/10/1992,Salaried,22/08/2018,7,10,1,1,0,0,0,0,749,C-Very Low Risk,4,3,0,49513,109360,109360,833,1,0,1yrs 1mon,2yrs 2mon,0,0
646338,96040,145631,67.29,70,22656,49,2424,29/06/1968,Self employed,31/10/2018,4,3310,1,1,0,0,0,0,300,M-Very High Risk,3,2,1,2799200,2097500,2097500,383215,1,1,1yrs 6mon,3yrs 3mon,0,1
621949,95800,165205,60.47,254,24117,67,6766,01/01/1993,Self employed,25/10/2018,13,2867,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
489885,95800,168909,59.14,34,16171,67,971,20/01/1992,Self employed,05/09/2018,6,1600,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
511986,95490,140000,70,10,16291,49,5722,25/02/1997,Self employed,17/09/2018,3,1831,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
555848,95392,143070,69.83,162,22748,49,1834,24/06/1994,Self employed,03/10/2018,4,524,1,0,0,0,1,0,502,K-High Risk,5,3,0,56995,120401,131310,1438,0,1,1yrs 11mon,2yrs 11mon,0,1
633700,95010,136923,72.3,152,12374,49,5136,11/07/1989,Self employed,28/10/2018,3,1551,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
624405,94498,163198,60.66,65,18072,67,6798,17/03/1979,Self employed,26/10/2018,13,1402,1,0,1,1,0,0,647,G-Low Risk,1,1,0,13506,42581,42581,0,0,0,1yrs 1mon,1yrs 1mon,0,1
599788,94099,113218,84.09,2,22917,86,1647,16/02/1959,Self employed,22/10/2018,4,1510,1,1,1,0,0,0,832,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0yrs 8mon,0yrs 8mon,0,0
600449,93490,131806,72.83,255,23094,48,5846,12/02/1995,Self employed,22/10/2018,3,3497,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
505921,93490,139900,68.62,1,18080,49,5083,01/01/1971,Self employed,14/09/2018,3,1616,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
633768,92555,159355,59.62,152,23414,49,5160,01/01/1988,Salaried,28/10/2018,3,75,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
524141,92455,107569,87.85,2,14690,86,1661,05/12/1987,Salaried,21/09/2018,4,1939,1,1,0,0,0,0,770,B-Very Low Risk,12,12,0,506541,880332,582329,0,0,0,1yrs 5mon,1yrs 11mon,0,0
578026,91143,135810,69.58,160,14114,67,60,01/01/1988,Self employed,15/10/2018,1,1173,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
495048,90131,163615,57.51,36,23080,67,6591,09/02/1991,Self employed,07/09/2018,13,1512,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
472369,89055,126496,71.94,73,22924,67,272,06/01/1983,Salaried,29/08/2018,11,1098,1,1,1,0,0,0,718,D-Very Low Risk,6,3,0,14237,49300,49300,2860,1,0,1yrs 3mon,3yrs 0mon,1,0
603705,89040,148040,63.16,20,16806,49,6154,19/02/1997,Salaried,23/10/2018,5,1288,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
479809,88555,145680,62.47,103,21097,49,6998,02/11/1996,Salaried,30/08/2018,7,2902,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
493351,88389,132703,67.82,153,23526,67,373,20/09/1980,Salaried,06/09/2018,11,715,1,1,0,0,0,0,836,A-Very Low Risk,2,0,0,0,0,0,0,0,1,2yrs 6mon,3yrs 7mon,0,0
619176,88276,133146,69.85,48,22645,67,6416,08/07/1982,Salaried,25/10/2018,5,1523,1,1,1,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,8164,13999,13999,0,1,0,0yrs 2mon,0yrs 2mon,1,0
642517,88239,120200,74.88,2,23550,48,1694,14/04/1995,Self employed,30/10/2018,4,60,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
550930,87620,143539,62.7,11,23903,49,5972,01/01/1985,Self employed,30/09/2018,3,1172,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
554535,87120,104910,84.93,2,14975,86,1738,24/10/1983,Self employed,03/10/2018,4,3455,1,1,0,0,0,0,766,B-Very Low Risk,11,3,0,68573,154983,154983,0,0,0,2yrs 7mon,8yrs 7mon,0,0
455155,87089,120845,74.48,3,16264,120,17,03/07/1984,Self employed,22/08/2018,1,3009,1,1,0,0,0,0,796,B-Very Low Risk,6,4,0,38561,153877,105911,3000,2,0,1yrs 1mon,2yrs 3mon,0,0
523093,86511,105000,84.95,2,15082,48,2378,01/12/1984,Salaried,20/09/2018,4,1195,1,1,1,0,0,0,563,J-High Risk,8,7,2,2402243,2521283,2500731,0,1,4,1yrs 3mon,2yrs 4mon,0,0
546374,86320,106548,84.47,7,20473,86,5781,01/01/1990,Self employed,28/09/2018,3,347,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
631005,86220,114109,77.12,146,14795,51,3006,01/01/1986,Salaried,27/10/2018,17,2554,1,1,0,0,0,0,520,K-High Risk,9,5,1,215021,376300,374455,0,2,1,1yrs 2mon,2yrs 8mon,0,0
639885,85389,108955,79.85,67,22703,86,1443,04/07/2000,NA,30/10/2018,6,750,1,1,0,0,0,0,720,D-Very Low Risk,2,1,1,3100513,3200000,3200000,29148,0,0,5yrs 6mon,10yrs 1mon,0,1
574506,84729,110905,79.35,70,22656,49,2407,21/07/1999,NA,13/10/2018,4,3310,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
539718,84489,115279,74.6,136,14123,48,3785,16/08/2000,NA,26/09/2018,8,566,1,1,0,0,0,0,811,A-Very Low Risk,4,0,0,0,0,0,0,0,0,0yrs 6mon,0yrs 9mon,0,0
511714,83686,90327,94.1,2,24487,86,1691,24/02/1987,Salaried,17/09/2018,4,2601,1,1,0,0,0,0,738,C-Very Low Risk,7,3,0,58302,80500,80500,7694,2,0,1yrs 0mon,2yrs 1mon,2,0
515511,83386,95088,89.39,2,24378,86,1711,02/05/1974,Self employed,18/09/2018,4,3138,1,1,0,0,0,0,621,H-Medium Risk,13,0,1,0,0,0,0,0,0,0yrs 7mon,3yrs 3mon,0,0
508571,83186,95088,89.39,2,18450,86,2379,20/06/1977,Self employed,15/09/2018,4,3367,1,1,0,0,0,0,717,D-Very Low Risk,1,1,0,2069,52500,52500,0,0,0,2yrs 11mon,2yrs 11mon,0,1
583426,83186,97000,87.11,2,23170,86,1724,19/12/1987,Self employed,16/10/2018,4,598,1,1,0,0,0,0,656,F-Low Risk,11,7,0,419456,529145,529145,2891,2,0,0yrs 11mon,1yrs 11mon,1,1
626826,83186,113683,74.77,48,24411,49,6386,04/09/1995,Self employed,26/10/2018,5,1856,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
534175,83120,128470,66.55,29,15406,48,5865,01/11/1992,Self employed,25/09/2018,3,1438,1,1,0,0,0,0,830,A-Very Low Risk,1,0,0,0,0,0,2093,0,0,1yrs 11mon,1yrs 11mon,0,0
548345,83033,114919,73.97,11,23886,49,6017,15/06/1989,Self employed,29/09/2018,3,2966,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
500063,82686,120870,70.32,152,22951,48,6055,30/05/1997,Self employed,11/09/2018,3,814,1,0,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
491011,82292,109636,78.81,2,22764,48,1730,01/01/1972,Salaried,05/09/2018,4,1509,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
640070,82186,123900,67.8,248,24101,120,1769,01/06/1967,Salaried,30/10/2018,4,422,1,1,0,0,0,0,738,C-Very Low Risk,1,1,0,187753,2.00E+05,2.00E+05,0,1,0,0yrs 5mon,0yrs 5mon,0,0
583925,82033,118700,69.92,136,14958,51,3712,31/03/1967,Salaried,17/10/2018,8,3343,1,1,0,0,0,0,728,D-Very Low Risk,8,3,0,299400,623000,623000,1671,0,0,1yrs 4mon,3yrs 1mon,0,0
605732,82033,128404,65.42,7,15887,48,5779,02/01/1979,Self employed,23/10/2018,3,1801,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
517661,81986,112761,74.76,65,23854,86,6816,03/01/1996,Self employed,19/09/2018,13,1804,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
605902,81686,114750,73.2,255,23489,51,5849,01/01/1962,Self employed,23/10/2018,3,88,1,1,0,0,0,0,701,E-Low Risk,4,1,0,20,20,20,32735,0,0,6yrs 0mon,11yrs 3mon,0,0
629609,81686,119391,70.36,65,22890,48,6820,01/05/1986,Self employed,27/10/2018,13,490,1,0,1,1,0,0,300,M-Very High Risk,1,1,1,10289,59068,59068,0,0,0,5yrs 1mon,5yrs 1mon,0,1
618299,81236,111800,74.24,8,18170,51,5299,21/01/1984,Salaried,25/10/2018,3,659,1,1,0,0,0,0,738,C-Very Low Risk,3,2,0,147397,414250,414250,9590,1,0,1yrs 6mon,3yrs 2mon,0,0
467782,80936,128096,64.99,65,16166,48,6801,01/03/1972,Salaried,28/08/2018,13,114,1,0,1,1,0,0,706,D-Very Low Risk,2,1,0,425595,5.00E+05,5.00E+05,16825,0,0,1yrs 6mon,2yrs 2mon,0,0
636285,80433,101336,80.92,250,23026,86,1552,13/03/1987,Salaried,29/10/2018,20,1472,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
495311,80433,122589,67.71,136,14123,48,3815,06/06/1973,Self employed,07/09/2018,8,610,1,1,0,0,0,0,300,M-Very High Risk,1,1,1,16500,32150,32150,0,0,0,11yrs 7mon,11yrs 7mon,0,1
565850,80186,98000,83.67,2,23508,86,1708,22/11/1977,Salaried,09/10/2018,4,1060,1,1,0,0,0,0,708,D-Very Low Risk,7,3,0,33300,58730,58730,930,2,0,1yrs 3mon,4yrs 10mon,0,1
470793,80186,114451,71.65,77,17668,48,2266,02/11/1994,Salaried,28/08/2018,4,868,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
593276,79976,109923,74.6,18,15352,48,2699,01/01/1972,Self employed,21/10/2018,4,3316,1,1,0,0,0,0,300,M-Very High Risk,5,1,1,0,0,0,1555,0,0,3yrs 5mon,11yrs 5mon,0,1
581559,79833,163947,49.5,36,24006,67,6752,01/05/1984,Self employed,16/10/2018,13,1007,1,0,0,0,1,0,300,M-Very High Risk,4,2,2,49252,79191,79191,5380,0,0,3yrs 4mon,4yrs 7mon,1,1
616985,79586,90586,89.31,69,21142,120,4083,14/08/1969,Salaried,25/10/2018,8,2810,1,1,0,0,0,0,836,A-Very Low Risk,1,0,0,0,0,0,0,0,0,1yrs 2mon,1yrs 2mon,0,0
636313,79533,122456,66.15,18,14046,48,2757,12/09/1992,Self employed,29/10/2018,4,2210,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,10258,10000,10000,0,1,0,0yrs 2mon,0yrs 2mon,0,0
441236,79287,108387,74.96,8,23720,51,5268,10/05/1993,Salaried,16/08/2018,3,1425,1,1,0,0,0,0,738,C-Very Low Risk,1,1,0,19657,22183,22183,0,1,0,0yrs 3mon,0yrs 3mon,0,0
533810,79186,94780,84.93,136,17783,86,3718,27/02/1995,Self employed,25/09/2018,8,2087,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
581535,79186,98384,82.33,77,17954,86,2280,10/01/1991,Salaried,16/10/2018,4,2456,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
562552,79166,162633,51.65,7,14213,49,5758,28/04/1992,Self employed,08/10/2018,3,1626,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
653552,79079,113536,70.46,2,23799,51,1654,12/07/1996,Self employed,31/10/2018,4,751,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
604041,79033,138300,58.57,11,23063,51,5999,18/02/1990,Self employed,23/10/2018,3,227,1,1,1,0,0,0,525,J-High Risk,2,1,1,191672,190000,190000,0,0,0,3yrs 8mon,5yrs 1mon,0,0
573910,78751,89670,89.22,77,18217,120,2356,06/08/1984,Salaried,13/10/2018,4,2960,1,1,0,0,0,0,671,F-Low Risk,2,1,0,42341,1.00E+05,1.00E+05,0,0,0,1yrs 8mon,1yrs 11mon,0,0
558933,78686,125000,64.8,152,18578,51,5059,14/10/1998,NA,05/10/2018,3,3472,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
505398,78386,116158,69.04,10,15651,86,5706,20/09/1995,Self employed,14/09/2018,3,2107,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
579594,78186,110105,73.57,152,23744,51,4982,01/01/1980,Self employed,15/10/2018,3,612,1,1,0,0,0,0,749,C-Very Low Risk,2,1,0,2167,7597,7597,3063,1,0,1yrs 9mon,3yrs 1mon,1,0
563520,77946,106328,74.96,8,23720,51,5266,12/12/1993,NA,08/10/2018,3,1425,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
569706,77751,103964,75.99,136,15078,49,3831,11/12/1973,Salaried,11/10/2018,8,2172,1,1,0,0,0,0,300,M-Very High Risk,13,4,1,70470,127875,127875,14246,0,0,1yrs 0mon,1yrs 11mon,0,1
454913,77579,106058,74.49,136,14123,48,3691,09/03/1999,NA,22/08/2018,8,77,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
581111,77379,110896,71.06,136,14100,51,3697,08/10/1995,Salaried,16/10/2018,8,2523,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
621994,77251,120717,65.03,36,24255,48,6754,01/10/1968,Self employed,25/10/2018,13,1016,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
650544,77079,91854,84.92,136,23384,86,3709,02/10/1990,Salaried,31/10/2018,8,3374,1,1,0,0,0,0,572,I-Medium Risk,1,1,1,4856,14572,14572,2538,1,1,0yrs 5mon,0yrs 5mon,1,1
617266,77079,95842,81.38,48,15905,86,6296,01/01/1994,Salaried,25/10/2018,5,1872,1,1,0,0,0,0,738,C-Very Low Risk,2,2,0,10131,19399,19399,0,2,0,0yrs 3mon,0yrs 5mon,0,0
629330,77079,104051,74.96,136,24159,51,3687,27/03/1994,Salaried,27/10/2018,8,3474,1,1,0,0,0,0,626,H-Medium Risk,9,4,0,39444,81500,81500,9768,3,0,0yrs 7mon,0yrs 11mon,0,1
579672,76751,107100,72.83,29,23904,49,5924,30/11/1993,Self employed,15/10/2018,3,1522,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
612127,76579,106200,73.92,147,17169,51,2783,01/05/1970,Self employed,24/10/2018,2,2544,1,1,0,0,0,0,734,D-Very Low Risk,3,2,0,3296,16700,16700,1392,0,0,4yrs 7mon,6yrs 10mon,1,1
635333,76579,107664,72.91,152,16763,51,4920,13/08/1990,Self employed,29/10/2018,3,3580,1,1,0,0,0,0,774,B-Very Low Risk,3,3,0,783,78896,78896,2983,0,0,1yrs 2mon,2yrs 3mon,0,0
476240,76251,98716,79.52,42,22523,86,5237,10/07/1992,Self employed,30/08/2018,3,1657,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
572334,76079,104400,74.71,152,18295,49,5059,04/07/1992,Self employed,12/10/2018,3,604,1,0,0,1,0,0,825,A-Very Low Risk,1,0,0,0,0,0,1799,0,0,0yrs 7mon,0yrs 7mon,0,0
529630,76079,113437,67.88,103,20576,51,6978,01/01/1994,Self employed,23/09/2018,7,1606,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
486281,76051,129693,61.68,258,24113,67,125,03/02/1997,Self employed,31/08/2018,16,2265,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
599768,75951,118937,65.58,10,23509,51,5693,16/05/2000,NA,22/10/2018,3,2587,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
579296,75751,102895,74.83,69,16620,48,4141,02/03/1995,Self employed,15/10/2018,8,2810,1,1,0,0,0,0,710,D-Very Low Risk,2,1,0,31573,31574,30000,2718,1,0,0yrs 9mon,1yrs 6mon,1,0
642723,75751,104184,73.91,104,23386,51,7133,01/01/1984,Self employed,30/10/2018,10,217,1,1,0,0,0,0,300,M-Very High Risk,1,1,1,21917,30000,30000,1620,0,0,2yrs 2mon,2yrs 2mon,0,1
621038,75751,108280,72.04,255,23091,51,5844,01/01/1983,Self employed,25/10/2018,3,3152,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
446442,75751,120000,65,11,23429,48,5993,27/06/1994,Self employed,18/08/2018,3,1910,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
578766,75751,122322,63.77,251,23254,48,6898,01/10/1982,Self employed,15/10/2018,13,2500,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
599463,75669,105684,72.78,36,22870,51,6582,01/02/1977,Self employed,22/10/2018,13,156,1,0,1,1,0,0,596,I-Medium Risk,2,2,1,243921,259865,259865,0,0,0,4yrs 9mon,7yrs 11mon,0,1
642680,75251,103196,74.62,48,21668,51,6400,14/08/1978,Self employed,30/10/2018,5,3266,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
590595,75251,109533,69.84,42,17318,120,5361,01/08/1997,Self employed,20/10/2018,3,167,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
506307,75181,106609,73.63,36,23718,51,6580,02/08/1988,Salaried,14/09/2018,13,145,1,0,1,1,0,0,441,K-High Risk,1,1,1,3477,40145,40145,0,0,0,2yrs 9mon,2yrs 9mon,1,0
567340,75140,112700,68.32,8,18170,51,5287,01/07/1991,Salaried,10/10/2018,3,659,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,62,39000,5060,0,1,0,0yrs 3mon,0yrs 3mon,3,1
617535,74751,84500,89.94,248,23912,86,1753,26/11/1974,Self employed,25/10/2018,4,63,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
467771,74751,85298,89.69,2,18451,86,1730,29/11/1990,Salaried,28/08/2018,4,1440,1,1,0,0,0,0,763,B-Very Low Risk,2,2,0,19353,62490,62490,1810,0,0,1yrs 7mon,2yrs 0mon,0,0
615070,74751,102900,73.86,16,14143,48,3046,10/04/1985,Salaried,24/10/2018,17,1565,1,0,0,1,0,0,300,M-Very High Risk,8,3,2,29706,71100,71100,0,0,0,0yrs 10mon,1yrs 10mon,0,1
