UniqueID,disbursed_amount,asset_cost,ltv,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE.DESCRIPTION,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,loan_default
419465,32784,41200,84.95,24140,51,6353,01/01/1984,Self employed,03/08/2018,5,1571,1,0,0,0,D-Very Low Risk,620000,620000,0,0,0yrs 3mon,2yrs 0mon,1
419687,29480,67877,45.67,18306,86,5294,22/03/1977,Self employed,03/08/2018,3,1366,1,0,1,0,F-Low Risk,2260186,2125621,2,0,2yrs 6mon,3yrs 11mon,0
419904,48349,65526,76.31,22945,86,87,15/06/1981,Salaried,03/08/2018,1,1069,1,1,0,0,F-Low Risk,232980,232980,2,0,0yrs 11mon,2yrs 9mon,0
420036,48349,70458,70.96,15894,86,1347,01/01/1984,Salaried,03/08/2018,6,2941,1,0,0,0,Not Scored: No Activity seen on the customer (Inactive),0,0,0,0,3yrs 4mon,3yrs 4mon,0
420345,56013,68511,84.66,23193,45,5083,01/01/1980,Self employed,03/08/2018,3,1645,1,1,0,0,A-Very Low Risk,0,0,0,0,0yrs 10mon,0yrs 10mon,0
420462,31484,41298,79.91,23940,51,2943,09/05/1997,Self employed,03/08/2018,17,2909,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
420754,42786,75642,58.36,18486,86,4632,08/06/1988,Salaried,03/08/2018,8,499,1,0,0,0,C-Very Low Risk,131497,131497,0,0,1yrs 5mon,2yrs 1mon,0
421319,34939,45583,78.98,23879,51,5464,01/05/1988,Self employed,04/08/2018,3,2756,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
421376,64582,74023,89.16,17473,86,1716,19/10/1981,Salaried,04/08/2018,4,2601,1,0,0,0,M-Very High Risk,50350,50350,0,0,1yrs 1mon,3yrs 5mon,0
421409,63213,81258,79.38,18149,86,4673,23/08/1986,Salaried,04/08/2018,8,2984,1,0,0,0,C-Very Low Risk,17007,17007,2,0,0yrs 2mon,0yrs 3mon,0
421509,32184,37000,89.73,16815,86,2255,02/12/1960,Salaried,04/08/2018,4,1840,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
421598,39100,66068,62.06,15142,86,1045,01/01/1977,Salaried,04/08/2018,6,1713,1,0,0,0,D-Very Low Risk,50970,50970,1,0,0yrs 9mon,1yrs 3mon,0
421723,33084,68000,49.41,23989,120,2377,18/05/1983,Salaried,04/08/2018,4,2677,1,0,0,0,D-Very Low Risk,3918192,4024445,1,1,2yrs 6mon,6yrs 9mon,0
421842,47049,63478,76.09,18166,86,1515,01/01/1983,Self employed,04/08/2018,6,1064,1,0,0,0,Not Scored: Not Enough Info available on the customer,200971,200971,2,0,0yrs 2mon,0yrs 2mon,0
422231,50203,64200,81,17175,45,3343,18/05/1973,Salaried,04/08/2018,9,2238,1,0,0,0,I-Medium Risk,193096,193096,1,0,1yrs 1mon,3yrs 1mon,0
422459,31844,64000,53.13,17502,51,2095,01/01/1987,Self employed,06/08/2018,4,2478,1,0,0,0,Not Scored: Only a Guarantor,0,0,0,0,4yrs 6mon,4yrs 6mon,0
422655,55259,63400,89.91,21305,86,57,03/01/1967,Salaried,06/08/2018,1,295,1,0,0,0,K-High Risk,27300,27300,0,1,1yrs 1mon,1yrs 7mon,1
422713,55299,64295,88.65,15218,86,1047,06/05/1994,Self employed,06/08/2018,6,829,1,0,0,0,C-Very Low Risk,147308,147308,1,0,0yrs 7mon,1yrs 1mon,0
422729,59447,68570,89.98,16764,86,2405,01/04/1987,Salaried,06/08/2018,4,528,1,0,1,0,F-Low Risk,109479,109479,5,0,0yrs 4mon,0yrs 9mon,0
423314,32984,59702,56.95,16065,86,7091,01/01/1982,Self employed,06/08/2018,10,1790,1,0,0,0,Not Scored: Only a Guarantor,2.00E+05,2.00E+05,1,0,0yrs 4mon,0yrs 4mon,0
423329,61987,71413,88.92,21635,86,1904,12/08/1981,Self employed,06/08/2018,4,796,1,0,0,0,F-Low Risk,415000,415000,0,0,2yrs 10mon,2yrs 10mon,1
423336,51303,62354,85,15513,86,84,18/10/1990,Self employed,06/08/2018,1,2081,1,0,0,0,C-Very Low Risk,80006,80006,1,0,0yrs 9mon,1yrs 6mon,0
423480,30484,63090,50.72,23092,45,551,01/01/1993,Salaried,06/08/2018,15,1343,1,0,0,0,D-Very Low Risk,113779,113779,2,0,0yrs 8mon,1yrs 3mon,1
423505,45109,56029,83.89,14292,48,3370,15/07/1983,Salaried,06/08/2018,9,2656,1,0,0,0,E-Low Risk,27289,27289,1,0,0yrs 3mon,0yrs 7mon,0
423737,57113,73355,80.57,18663,86,1980,01/01/1985,Self employed,06/08/2018,4,2541,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 5mon,0yrs 5mon,0
423891,62213,90554,70.68,21746,86,873,23/08/1982,Salaried,06/08/2018,6,1649,1,0,0,0,M-Very High Risk,3852240,3788046,5,7,1yrs 5mon,13yrs 8mon,1
424267,23300,65340,36.73,16596,86,4416,07/07/1993,Self employed,06/08/2018,8,1361,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
424524,57259,74330,79.38,24047,86,6721,09/09/1967,Salaried,06/08/2018,13,2820,1,1,0,0,E-Low Risk,2.00E+05,2.00E+05,0,0,2yrs 6mon,3yrs 10mon,0
424643,56613,68942,85,22928,86,2582,30/09/1987,Self employed,07/08/2018,4,83,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 7mon,0yrs 7mon,1
424691,60561,74541,84,17920,86,6533,03/10/1975,Salaried,07/08/2018,13,1677,1,1,0,0,M-Very High Risk,669526,669526,0,0,3yrs 3mon,6yrs 3mon,0
424974,45545,58350,79.69,16680,45,481,01/12/1971,Salaried,07/08/2018,11,441,1,0,0,0,B-Very Low Risk,3794342,3794342,1,0,2yrs 1mon,5yrs 1mon,0
425159,39804,63597,67.61,16938,86,1828,29/04/1987,Self employed,07/08/2018,4,468,1,0,0,0,L-Very High Risk,110000,110000,0,0,3yrs 6mon,3yrs 6mon,0
425222,42394,66715,65.95,16605,120,1446,21/01/1985,Self employed,07/08/2018,6,1315,1,0,0,0,D-Very Low Risk,2406221,2406221,0,0,1yrs 8mon,5yrs 3mon,0
425322,43894,67757,66.41,17831,86,1514,05/07/1989,Salaried,07/08/2018,6,2800,1,0,0,0,G-Low Risk,28317,10662,1,0,0yrs 6mon,0yrs 8mon,0
425528,40644,65206,64.41,17980,86,3363,02/06/1992,Salaried,07/08/2018,9,853,1,1,0,0,J-High Risk,115606,115606,0,0,3yrs 8mon,4yrs 9mon,0
425695,54963,83336,67.2,14464,86,3796,07/05/1990,Self employed,07/08/2018,8,2829,1,0,0,0,D-Very Low Risk,1338000,1338000,13,0,0yrs 6mon,1yrs 3mon,0
425862,54013,73960,75.72,23448,45,5834,26/01/1972,Self employed,07/08/2018,3,1755,1,1,0,0,G-Low Risk,450000,450000,1,1,2yrs 5mon,3yrs 7mon,0
426059,39794,64092,63.97,18166,86,1436,02/06/1964,Self employed,07/08/2018,6,1845,1,1,0,0,Not Scored: No Activity seen on the customer (Inactive),0,0,0,0,3yrs 0mon,3yrs 7mon,0
426104,39244,63800,64.26,18332,86,853,01/01/1981,Self employed,07/08/2018,6,626,1,1,0,0,B-Very Low Risk,1549844,1477239,7,0,1yrs 1mon,5yrs 0mon,0
426406,52078,62188,86.83,15196,86,987,19/06/1982,Self employed,07/08/2018,6,589,1,0,0,0,K-High Risk,129548,129548,0,0,2yrs 10mon,2yrs 10mon,1
426588,58713,71752,83.62,22866,86,2385,15/07/1986,Salaried,07/08/2018,4,97,1,0,0,0,F-Low Risk,1017869,1017869,2,0,0yrs 4mon,0yrs 11mon,0
426716,34239,62712,56.45,17684,45,1446,01/01/1989,Self employed,07/08/2018,6,867,1,0,0,0,C-Very Low Risk,10961,10961,1,1,0yrs 5mon,0yrs 7mon,0
426827,70194,81546,88.76,23396,86,1927,01/06/1956,Salaried,08/08/2018,4,1991,1,0,0,0,J-High Risk,5000,5000,0,1,2yrs 8mon,4yrs 7mon,0
426944,57200,65012,89.98,13971,86,2694,01/01/1986,Self employed,08/08/2018,4,185,1,0,0,0,Not Scored: Not Enough Info available on the customer,178400,178400,1,0,0yrs 3mon,0yrs 3mon,1
427014,46349,68149,70.43,21746,86,873,12/12/1962,Self employed,08/08/2018,6,1649,1,0,0,0,I-Medium Risk,641400,641400,0,0,4yrs 4mon,11yrs 2mon,0
427408,73200,118200,63.45,20983,120,2985,01/01/1986,NA,08/08/2018,14,2362,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,1
427689,51078,58984,89.85,21556,45,768,10/04/1962,Salaried,08/08/2018,18,2058,1,0,0,0,I-Medium Risk,460000,460000,0,1,1yrs 3mon,2yrs 11mon,1
428064,98000,137000,72.92,14770,49,1631,26/10/1984,Self employed,08/08/2018,4,237,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
428558,45649,64012,76.55,14145,86,3323,18/08/1991,Salaried,08/08/2018,9,941,1,0,1,0,Not Scored: Sufficient History Not Available,8961,8961,1,0,0yrs 0mon,0yrs 0mon,0
428605,33284,64490,53.19,14234,86,2699,15/10/1983,Self employed,09/08/2018,4,415,1,0,0,0,C-Very Low Risk,60000,60000,0,0,0yrs 11mon,1yrs 7mon,0
428622,52303,66764,79.83,18435,86,2404,28/12/1982,Salaried,09/08/2018,4,1163,1,0,0,0,F-Low Risk,87994,87994,4,0,0yrs 5mon,0yrs 11mon,0
429097,54119,65698,86.76,14592,45,5748,05/09/1983,Salaried,09/08/2018,3,132,1,0,0,0,M-Very High Risk,1.00E+05,1.00E+05,0,1,3yrs 4mon,8yrs 11mon,0
429104,49203,63477,79.56,22045,86,1510,01/07/1973,Self employed,09/08/2018,6,40,1,0,0,0,F-Low Risk,2151443,2155176,3,0,1yrs 0mon,2yrs 10mon,0
429125,54303,70500,78.01,15694,86,3013,10/05/1980,Salaried,09/08/2018,14,901,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 2mon,0yrs 7mon,0
429186,63163,85933,75.58,21980,86,3021,01/01/1986,NA,09/08/2018,14,439,1,0,0,0,C-Very Low Risk,20092,20092,0,0,0yrs 7mon,0yrs 7mon,1
429411,36679,54725,69.44,18651,48,4300,22/04/1977,Self employed,09/08/2018,8,610,1,0,0,0,M-Very High Risk,977000,977000,0,0,2yrs 1mon,5yrs 2mon,1
429504,50303,62800,82.8,23024,86,1063,15/10/1985,Self employed,09/08/2018,6,246,1,0,0,0,C-Very Low Risk,2374803,2364596,1,0,1yrs 0mon,3yrs 6mon,0
429537,66660,77376,88.53,18306,86,5326,24/11/1973,Salaried,09/08/2018,3,1366,1,0,0,0,A-Very Low Risk,0,0,0,0,1yrs 9mon,4yrs 6mon,0
429904,56813,76357,78.58,18310,86,4951,11/07/1980,Salaried,09/08/2018,3,830,1,1,0,0,Not Scored: No Activity seen on the customer (Inactive),40120,40120,0,0,6yrs 2mon,6yrs 2mon,0
429954,48600,56230,89.99,21043,86,3670,11/09/1988,Self employed,09/08/2018,9,2796,1,0,0,0,B-Very Low Risk,29000,29000,0,0,3yrs 3mon,3yrs 6mon,1
429976,54259,64075,86.31,23309,51,299,28/04/1961,Self employed,09/08/2018,11,2561,1,0,0,0,M-Very High Risk,35347,35347,0,0,11yrs 9mon,11yrs 9mon,0
430477,54303,62000,88.71,15899,86,1677,24/07/1996,Self employed,10/08/2018,4,1164,1,0,0,0,E-Low Risk,38197,38197,1,1,0yrs 4mon,0yrs 6mon,1
430749,34939,46458,77.49,21022,51,6476,16/10/1987,Self employed,10/08/2018,5,2854,1,0,0,0,H-Medium Risk,0,0,0,0,0yrs 4mon,0yrs 9mon,0
430760,43923,60900,75.53,15513,86,26,08/11/1982,Self employed,10/08/2018,1,721,1,0,0,0,B-Very Low Risk,2607223,2118493,1,0,1yrs 11mon,8yrs 8mon,0
431075,58559,66800,89.82,15663,86,3385,10/08/1987,Self employed,10/08/2018,9,2751,1,0,0,0,D-Very Low Risk,1427854,1427854,4,0,0yrs 10mon,2yrs 8mon,0
431200,61898,71751,88.85,14614,86,4662,13/07/1983,Salaried,10/08/2018,8,1867,1,0,0,0,Not Scored: No Activity seen on the customer (Inactive),0,0,0,0,0yrs 0mon,0yrs 0mon,1
431350,55259,70386,80.98,22857,86,1896,01/01/1987,Self employed,10/08/2018,4,1653,1,0,0,0,A-Very Low Risk,0,0,0,0,1yrs 1mon,1yrs 1mon,1
431507,24141,62400,41.67,16419,120,91,01/01/1988,Self employed,10/08/2018,1,1231,1,0,0,0,C-Very Low Risk,18756,18756,1,0,0yrs 4mon,0yrs 6mon,1
431673,68169,96500,72.54,22417,51,60,05/05/1974,Self employed,10/08/2018,1,685,1,0,0,0,C-Very Low Risk,17738,17738,1,0,0yrs 4mon,0yrs 6mon,0
431742,40510,72358,58.46,23854,86,6814,01/01/1987,Self employed,10/08/2018,13,771,1,1,0,0,A-Very Low Risk,60000,60000,0,0,1yrs 2mon,1yrs 8mon,0
431756,31484,65005,50.77,22862,86,1347,01/06/1981,Self employed,10/08/2018,6,2818,1,0,0,0,Not Scored: No Activity seen on the customer (Inactive),0,0,0,0,1yrs 7mon,1yrs 7mon,0
431972,51003,68214,77.7,24001,86,847,08/04/1993,Salaried,10/08/2018,15,2576,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 6mon,0yrs 6mon,0
432107,52303,72200,74.79,17768,86,5684,10/03/1983,Self employed,11/08/2018,3,1227,1,0,0,0,H-Medium Risk,534500,534500,0,0,2yrs 7mon,5yrs 0mon,0
432201,54959,62500,89.6,15733,86,298,20/03/1996,Salaried,11/08/2018,11,1253,1,0,0,0,C-Very Low Risk,20779,20779,2,0,0yrs 5mon,0yrs 11mon,0
432414,55759,71500,79.72,22699,86,2378,28/12/1987,Salaried,11/08/2018,4,294,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 5mon,0yrs 5mon,0
432442,53078,61323,89.69,20582,86,1406,05/02/1970,Salaried,11/08/2018,6,173,1,0,0,0,D-Very Low Risk,3.00E+05,3.00E+05,0,0,1yrs 8mon,2yrs 5mon,0
432747,37944,59681,65.35,15919,45,1359,04/01/1983,Salaried,11/08/2018,6,2208,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 7mon,0yrs 7mon,0
432933,53478,65012,84.6,14234,86,2711,11/12/1976,Self employed,11/08/2018,4,1445,1,0,0,0,M-Very High Risk,21540,21540,0,0,0yrs 8mon,0yrs 10mon,1
432967,58659,67000,89.55,23550,86,1659,03/09/1977,Salaried,11/08/2018,4,2540,1,0,0,0,C-Very Low Risk,26000,26000,0,0,0yrs 6mon,0yrs 6mon,1
433116,57413,66523,88.69,22708,86,2687,08/05/1975,Self employed,11/08/2018,4,4,1,0,0,0,Not Scored: No Updates available in last 36 months,0,0,0,0,1yrs 5mon,2yrs 0mon,1
433121,32341,62050,54.79,16277,45,571,05/12/1983,Self employed,11/08/2018,15,1065,1,0,0,0,Not Scored: No Activity seen on the customer (Inactive),0,0,0,0,1yrs 7mon,1yrs 9mon,0
433220,45579,68426,71.61,14347,86,3392,18/10/1995,Salaried,11/08/2018,9,805,1,0,1,0,G-Low Risk,84386,24386,1,1,0yrs 3mon,0yrs 5mon,0
433230,30394,87295,37.8,14347,86,3387,19/12/1989,Salaried,11/08/2018,9,2378,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
433346,72317,105500,70.14,22728,51,7012,01/01/1990,Self employed,11/08/2018,7,1238,1,0,0,0,Not Scored: Sufficient History Not Available,10197,10197,1,0,0yrs 1mon,0yrs 1mon,1
433449,46069,63707,75.34,15123,45,1051,15/12/1987,Self employed,11/08/2018,6,1957,1,1,0,0,C-Very Low Risk,1288681,1238223,0,0,2yrs 4mon,4yrs 7mon,0
433590,58259,63749,92.55,15523,86,3752,10/03/1980,Salaried,11/08/2018,8,2185,1,0,0,0,K-High Risk,655000,655000,0,0,0yrs 8mon,1yrs 5mon,0
433729,45649,70700,66.48,23643,86,3340,10/03/1969,Self employed,11/08/2018,9,2751,1,0,0,0,Not Scored: Sufficient History Not Available,47000,47000,1,0,0yrs 2mon,0yrs 2mon,1
433996,52528,63950,85.14,23311,86,6739,08/08/1990,Salaried,11/08/2018,13,2048,1,0,0,0,D-Very Low Risk,530000,530000,0,0,1yrs 5mon,1yrs 5mon,0
434287,55659,63590,89.64,18532,45,1446,15/06/1980,Salaried,11/08/2018,6,682,1,0,0,0,Not Scored: No Activity seen on the customer (Inactive),0,0,0,0,1yrs 0mon,1yrs 0mon,1
434473,54319,76850,75.47,14723,51,3307,24/10/1963,Self employed,11/08/2018,9,1676,1,1,0,0,Not Scored: No Activity seen on the customer (Inactive),342000,342000,0,0,2yrs 3mon,9yrs 6mon,1
434484,45291,90794,52.76,16166,48,6810,24/11/1977,Salaried,11/08/2018,13,114,1,1,0,0,J-High Risk,46845,46845,0,0,4yrs 8mon,4yrs 8mon,0
434585,45849,64651,73.47,22856,51,46,29/03/1978,Salaried,12/08/2018,1,1916,1,0,0,0,K-High Risk,937884,750925,4,3,1yrs 11mon,4yrs 7mon,0
434654,68882,82582,84.76,20706,86,4531,01/06/1990,Self employed,12/08/2018,8,1254,1,0,1,0,F-Low Risk,736421,736421,4,0,0yrs 7mon,1yrs 1mon,0
434692,50003,67500,75.56,17783,86,3793,05/11/1978,Self employed,12/08/2018,8,2087,1,0,0,0,Not Scored: No Updates available in last 36 months,0,0,0,0,1yrs 11mon,1yrs 11mon,0
434731,48749,61540,81.25,18532,45,1446,15/08/1998,NA,12/08/2018,6,1861,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 6mon,0yrs 7mon,1
434734,48849,59208,84.45,18175,45,491,26/10/1979,Salaried,12/08/2018,11,1133,1,0,0,0,K-High Risk,77201,77201,0,1,0yrs 11mon,1yrs 11mon,1
434925,59413,67000,89.85,23799,86,1653,02/04/1974,Self employed,12/08/2018,4,751,1,0,0,0,F-Low Risk,195990,195990,3,0,1yrs 0mon,4yrs 1mon,0
435038,51923,60236,89.65,22817,86,1333,01/09/1993,Salaried,12/08/2018,6,2944,1,0,0,0,D-Very Low Risk,227890,227890,2,0,1yrs 2mon,2yrs 6mon,0
435136,46249,67320,71.15,22304,45,6926,06/10/1995,Salaried,13/08/2018,12,845,1,0,0,0,J-High Risk,96000,96000,0,0,0yrs 10mon,1yrs 2mon,1
435138,47793,65905,76.63,24115,45,782,03/05/1975,Self employed,13/08/2018,18,3087,1,0,0,0,I-Medium Risk,95000,95000,0,0,2yrs 11mon,2yrs 11mon,0
435518,41074,58825,74.8,16167,45,91,20/01/1981,Self employed,13/08/2018,1,630,1,0,0,0,Not Scored: Sufficient History Not Available,10071,10071,1,0,0yrs 0mon,0yrs 0mon,0
436212,48145,61865,79.2,15196,86,1043,06/02/1983,Salaried,13/08/2018,6,1863,1,0,0,0,F-Low Risk,2385,2385,1,0,0yrs 5mon,0yrs 7mon,0
436283,64582,82700,79.81,14791,51,1754,01/06/1977,Self employed,13/08/2018,4,113,1,0,0,0,A-Very Low Risk,0,0,0,0,2yrs 8mon,2yrs 8mon,0
436671,52079,62997,88.89,18077,86,1836,19/01/1986,Salaried,13/08/2018,4,1319,1,0,0,0,J-High Risk,0,0,0,0,0yrs 7mon,0yrs 8mon,1
436730,38839,53750,74.23,16053,45,364,12/09/1987,Self employed,13/08/2018,11,1331,1,0,0,0,I-Medium Risk,59442,59442,2,0,1yrs 0mon,3yrs 0mon,1
436784,53754,74838,77.5,20690,86,7125,06/10/1980,Salaried,13/08/2018,10,1279,1,0,0,0,J-High Risk,1800000,1800000,0,1,0yrs 8mon,0yrs 8mon,1
437012,58747,67697,89.22,16624,86,1511,09/09/1981,Self employed,14/08/2018,6,1385,1,0,0,0,C-Very Low Risk,113760,113760,1,0,1yrs 2mon,3yrs 3mon,0
437120,41594,65500,64.89,14791,51,1802,03/09/1973,Self employed,14/08/2018,4,63,1,0,0,0,G-Low Risk,3920000,3900479,1,1,2yrs 4mon,5yrs 1mon,0
437184,67569,80173,86.06,22703,86,1438,12/09/1983,Self employed,14/08/2018,6,2652,1,0,0,0,C-Very Low Risk,53000,53000,0,0,1yrs 2mon,1yrs 2mon,0
437248,52528,62938,87.39,15217,86,986,27/08/1973,Self employed,14/08/2018,6,180,1,0,0,0,M-Very High Risk,179150,179150,1,2,1yrs 1mon,1yrs 11mon,1
437257,54513,75000,74.67,16845,51,2046,13/11/1992,Salaried,14/08/2018,4,2260,1,0,0,1,K-High Risk,1400000,1400000,0,0,7yrs 0mon,7yrs 0mon,1
437413,70517,96373,74.92,20984,86,2067,23/06/1994,Salaried,14/08/2018,4,2260,1,0,0,0,H-Medium Risk,0,0,0,0,2yrs 8mon,2yrs 8mon,1
437569,31484,55957,58.97,13926,45,6244,10/07/1979,Salaried,14/08/2018,5,125,1,1,0,0,K-High Risk,428136,421094,1,1,4yrs 6mon,12yrs 11mon,0
437626,49303,66799,76.35,23824,86,936,21/02/1984,Salaried,14/08/2018,6,2519,1,0,0,0,A-Very Low Risk,0,0,0,0,0yrs 4mon,0yrs 5mon,0
437673,50303,66514,78.18,16556,86,1073,09/09/1973,Self employed,14/08/2018,6,865,1,1,0,0,Not Scored: Not Enough Info available on the customer,0,0,0,0,0yrs 1mon,0yrs 1mon,0
437792,59993,71501,89.51,14347,86,3389,15/08/1981,Self employed,14/08/2018,9,2380,1,0,0,0,C-Very Low Risk,90975,90975,1,0,2yrs 0mon,5yrs 9mon,1
438050,42494,59776,75.28,20704,45,7133,01/01/1960,Self employed,14/08/2018,10,410,1,0,0,0,M-Very High Risk,28900,28900,0,0,3yrs 8mon,3yrs 8mon,0
438107,30484,98680,32.43,23778,51,5805,01/01/1992,Self employed,14/08/2018,3,1765,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
438289,60633,78101,81.95,14178,86,3340,14/08/1975,Self employed,14/08/2018,9,2607,1,0,0,0,B-Very Low Risk,54135,54135,0,0,1yrs 5mon,1yrs 5mon,0
438293,56259,64400,88.51,23393,45,3755,29/11/1997,NA,14/08/2018,8,946,1,0,0,0,Not Scored: Not Enough Info available on the customer,16,16,0,0,2yrs 2mon,2yrs 2mon,1
438364,107463,159114,69.99,23002,67,1952,15/08/1969,Self employed,14/08/2018,4,983,1,0,0,0,No Bureau History Available,0,0,0,0,0yrs 0mon,0yrs 0mon,0
438509,51303,64530,82.13,14004,86,6173,01/05/1980,Self employed,14/08/2018,5,1389,1,0,0,0,H-Medium Risk,1405170,1405170,0,1,1yrs 6mon,2yrs 10mon,1
438626,47349,55883,86.79,22647,86,346,01/01/1990,Self employed,14/08/2018,11,2405,1,0,0,0,C-Very Low Risk,20000,20000,0,0,1yrs 4mon,1yrs 4mon,1
439022,41854,66860,65,18663,86,1977,01/01/1990,Salaried,14/08/2018,4,973,1,0,0,0,C-Very Low Risk,26400,26400,1,0,0yrs 5mon,0yrs 9mon,0
439115,48349,67834,73.71,23043,49,6972,05/08/1985,Self employed,14/08/2018,7,380,1,0,0,0,K-High Risk,2263144,2282259,0,0,4yrs 10mon,5yrs 8mon,0
439259,46749,59286,80.96,16565,45,1428,10/02/1980,Self employed,14/08/2018,6,110,1,1,0,0,A-Very Low Risk,2897000,2897000,0,0,1yrs 9mon,3yrs 4mon,0
439300,62947,88804,72.07,15879,48,3910,07/03/1991,Self employed,14/08/2018,8,2165,1,0,0,0,Not Scored: No Activity seen on the customer (Inactive),0,0,0,0,1yrs 3mon,1yrs 3mon,0
439519,58759,67000,88.81,17473,86,1676,26/12/1980,Self employed,14/08/2018,4,1635,1,0,0,0,K-High Risk,24500,24500,0,0,1yrs 6mon,2yrs 1mon,0
439590,49078,68900,74.02,16794,120,4416,13/12/1971,Self employed,14/08/2018,8,1003,1,1,0,0,F-Low Risk,78000,78000,0,0,0yrs 8mon,1yrs 1mon,0
439868,58808,67924,89.07,15663,86,3399,10/06/1972,Self employed,16/08/2018,9,1437,1,0,0,0,A-Very Low Risk,0,0,0,0,1yrs 4mon,1yrs 8mon,0
439880,47349,66523,72.16,18473,86,2988,03/01/1973,Salaried,16/08/2018,14,346,1,0,0,0,A-Very Low Risk,0,0,0,0,2yrs 1mon,2yrs 1mon,0
439908,59211,70446,90,15685,86,1863,15/02/1970,Self employed,16/08/2018,4,1350,1,0,0,0,M-Very High Risk,12689,12689,0,1,0yrs 8mon,0yrs 8mon,1
440036,59259,67000,89.55,13975,45,3418,14/12/1978,Salaried,16/08/2018,9,3061,1,0,0,0,F-Low Risk,20000,20000,0,0,0yrs 5mon,0yrs 5mon,0
