"ID","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","FLAG_MOBIL","FLAG_WORK_PHONE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","default"
5008950,"M","N","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-15484,-1408,1,1,1,0,"Drivers",2,0
5008954,"M","N","Y",1,225000,"Working","Secondary / secondary special","Married","House / apartment",-10321,-2808,1,0,0,0,"",3,0
5008958,"F","Y","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-17785,-1712,1,0,0,0,"Laborers",2,0
5008967,"M","N","Y",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-16027,-889,1,0,1,0,"",2,0
5008973,"M","N","Y",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-16027,-889,1,0,1,0,"",2,0
5008977,"F","N","Y",0,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",-22319,365243,1,0,0,0,"",2,0
5008984,"M","Y","Y",0,112500,"State servant","Secondary / secondary special","Married","House / apartment",-20874,-2381,1,0,1,0,"Drivers",2,0
5008986,"M","Y","Y",0,112500,"State servant","Secondary / secondary special","Married","House / apartment",-20874,-2381,1,0,1,0,"Drivers",2,0
5008987,"M","Y","Y",0,112500,"State servant","Secondary / secondary special","Married","House / apartment",-20874,-2381,1,0,1,0,"Drivers",2,0
5008988,"M","Y","Y",0,112500,"State servant","Secondary / secondary special","Married","House / apartment",-20874,-2381,1,0,1,0,"Drivers",2,0
5008992,"F","Y","Y",0,270000,"Working","Secondary / secondary special","Separated","House / apartment",-16582,-1194,1,1,1,0,"Cleaning staff",1,0
5008994,"F","Y","Y",0,270000,"Working","Secondary / secondary special","Separated","House / apartment",-16582,-1194,1,1,1,0,"Cleaning staff",1,0
5009016,"F","N","Y",2,216000,"State servant","Higher education","Married","House / apartment",-15444,-3112,1,0,0,1,"",4,0
5009029,"F","Y","Y",0,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14450,-2777,1,0,0,0,"Laborers",2,0
5009035,"F","N","N",0,255150,"Pensioner","Incomplete higher","Civil marriage","Rented apartment",-18682,365243,1,0,0,0,"",2,0
5009037,"F","N","N",0,255150,"Pensioner","Incomplete higher","Civil marriage","Rented apartment",-18682,365243,1,0,0,0,"",2,0
5009039,"F","N","Y",2,157500,"Working","Secondary / secondary special","Single / not married","House / apartment",-14326,-555,1,0,0,0,"Core staff",3,0
5009042,"F","N","Y",0,148500,"Working","Higher education","Married","House / apartment",-17641,-889,1,0,0,0,"Core staff",2,0
5009058,"F","Y","Y",0,112500,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-7489,-797,1,0,1,1,"Private service staff",1,0
5009063,"M","Y","Y",0,315000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-10450,-2077,1,0,0,0,"Sales staff",2,0
5009079,"F","N","Y",0,112500,"Working","Higher education","Civil marriage","House / apartment",-10064,-3173,1,0,0,1,"Laborers",2,0
5009092,"M","Y","Y",1,765000,"Working","Higher education","Married","House / apartment",-12197,-1194,1,1,0,0,"Managers",3,1
5009103,"M","Y","Y",2,157500,"Working","Secondary / secondary special","Married","With parents",-12859,-4056,1,0,1,0,"Drivers",4,0
5009106,"M","Y","Y",2,157500,"Working","Secondary / secondary special","Married","With parents",-12859,-4056,1,0,1,0,"Drivers",4,0
5009108,"M","N","Y",0,360000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15321,-2747,1,0,0,0,"Security staff",2,0
5009109,"M","N","Y",0,360000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15321,-2747,1,0,0,0,"Security staff",2,0
5009110,"F","N","Y",0,112500,"Commercial associate","Higher education","Married","House / apartment",-8842,-312,1,0,0,1,"High skill tech staff",2,0
5009117,"F","N","N",0,157500,"Commercial associate","Higher education","Separated","With parents",-15737,-432,1,0,0,0,"",1,0
5009125,"F","N","N",0,157500,"Commercial associate","Higher education","Separated","With parents",-15737,-432,1,0,0,0,"",1,0
5009130,"F","N","N",0,157500,"Commercial associate","Higher education","Separated","With parents",-15737,-432,1,0,0,0,"",1,0
5009133,"M","N","Y",0,382500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21673,365243,1,0,0,0,"",1,0
5009134,"M","N","Y",0,382500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21673,365243,1,0,0,0,"",1,0
5009136,"M","N","Y",0,382500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21673,365243,1,0,0,0,"",1,0
5009141,"F","N","N",0,135000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-9657,-1560,1,1,1,0,"Managers",2,0
5009151,"F","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-19575,-2901,1,0,0,0,"Sales staff",2,0
5009154,"F","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-19575,-2901,1,0,0,0,"Sales staff",2,0
5009156,"F","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-19575,-2901,1,0,0,0,"Sales staff",2,0
5009161,"F","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-19575,-2901,1,0,0,0,"Sales staff",2,0
5009163,"F","N","N",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-12915,-3174,1,0,1,0,"Sales staff",2,0
5009166,"F","N","N",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-12915,-3174,1,0,1,0,"Sales staff",2,0
5009177,"M","Y","N",0,229500,"Working","Incomplete higher","Married","Co-op apartment",-18325,-1256,1,0,0,0,"Laborers",2,0
5009180,"M","Y","N",0,229500,"Working","Incomplete higher","Married","Co-op apartment",-18325,-1256,1,0,0,0,"Laborers",2,0
5009183,"M","Y","N",0,229500,"Working","Incomplete higher","Married","Co-op apartment",-18325,-1256,1,0,0,0,"Laborers",2,0
5009186,"F","N","N",0,270000,"Working","Higher education","Married","House / apartment",-17573,-5792,1,1,1,0,"Managers",2,0
5009187,"F","N","N",0,270000,"Working","Higher education","Married","House / apartment",-17573,-5792,1,1,1,0,"Managers",2,0
5009188,"F","N","N",0,270000,"Working","Higher education","Married","House / apartment",-17573,-5792,1,1,1,0,"Managers",2,0
5009190,"F","N","N",0,270000,"Working","Higher education","Married","House / apartment",-17573,-5792,1,1,1,0,"Managers",2,0
5009201,"F","N","N",0,292500,"State servant","Secondary / secondary special","Married","House / apartment",-20953,-8684,1,1,1,0,"Accountants",2,0
5009202,"F","N","N",0,292500,"State servant","Secondary / secondary special","Married","House / apartment",-20953,-8684,1,1,1,0,"Accountants",2,0
5009204,"F","N","N",0,292500,"State servant","Secondary / secondary special","Married","House / apartment",-20953,-8684,1,1,1,0,"Accountants",2,0
5009206,"F","N","N",0,292500,"State servant","Secondary / secondary special","Married","House / apartment",-20953,-8684,1,1,1,0,"Accountants",2,0
5009209,"F","N","N",0,292500,"State servant","Secondary / secondary special","Married","House / apartment",-20953,-8684,1,1,1,0,"Accountants",2,0
5009213,"F","N","N",0,270000,"Working","Higher education","Married","House / apartment",-12333,-860,1,1,1,0,"Accountants",2,0
5009217,"F","N","N",0,270000,"Working","Higher education","Married","House / apartment",-12333,-860,1,1,1,0,"Accountants",2,0
5009227,"F","Y","N",0,225000,"Working","Secondary / secondary special","Married","House / apartment",-14667,-798,1,1,0,0,"Managers",2,0
5009232,"F","Y","N",0,225000,"Working","Secondary / secondary special","Married","House / apartment",-14667,-798,1,1,0,0,"Managers",2,0
5009234,"F","Y","N",0,225000,"Working","Secondary / secondary special","Married","House / apartment",-14667,-798,1,1,0,0,"Managers",2,0
5009239,"M","Y","N",0,157500,"Working","Incomplete higher","Married","With parents",-10611,-982,1,0,1,0,"Drivers",2,0
5009244,"F","N","N",0,74250,"Working","Higher education","Separated","Municipal apartment",-19082,-5243,1,0,1,0,"Core staff",1,0
5009246,"F","N","N",0,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14201,-2139,1,0,1,0,"",2,0
5009249,"M","Y","N",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-9957,-921,1,1,0,0,"Drivers",3,0
5009250,"M","Y","N",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-9957,-921,1,1,0,0,"Drivers",3,0
5009252,"M","Y","N",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-9957,-921,1,1,0,0,"Drivers",3,0
5009260,"F","N","N",0,202500,"State servant","Higher education","Married","With parents",-14562,-1287,1,0,1,0,"Core staff",2,0
5009268,"M","Y","N",0,337500,"State servant","Higher education","Married","With parents",-10266,-1652,1,1,1,0,"Managers",2,0
5009269,"M","Y","N",0,337500,"State servant","Higher education","Married","With parents",-10266,-1652,1,1,1,0,"Managers",2,0
5009280,"F","N","N",0,130500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-15140,-4816,1,0,1,0,"Cleaning staff",2,0
5009287,"F","N","N",0,130500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-15140,-4816,1,0,1,0,"Cleaning staff",2,0
5009290,"F","N","N",0,130500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-15140,-4816,1,0,1,0,"Cleaning staff",2,0
5009292,"F","N","N",0,130500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-15140,-4816,1,0,1,0,"Cleaning staff",2,0
5009294,"F","N","N",0,130500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-15140,-4816,1,0,1,0,"Cleaning staff",2,0
5009296,"F","N","N",0,144000,"Pensioner","Secondary / secondary special","Married","House / apartment",-21041,365243,1,0,1,0,"",2,0
5009297,"F","N","N",0,193500,"Working","Secondary / secondary special","Single / not married","Municipal apartment",-16099,-1866,1,0,1,0,"Laborers",1,1
5009301,"F","N","N",0,193500,"Working","Secondary / secondary special","Single / not married","Municipal apartment",-16099,-1866,1,0,1,0,"Laborers",1,0
5009308,"F","Y","N",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20140,365243,1,0,1,1,"",2,0
5009309,"F","Y","N",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20140,365243,1,0,1,1,"",2,0
5009316,"F","Y","N",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20140,365243,1,0,1,1,"",2,0
5009319,"F","Y","N",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20140,365243,1,0,1,1,"",2,0
5009325,"M","Y","N",0,267750,"Working","Higher education","Married","House / apartment",-20991,-4727,1,0,1,0,"Laborers",2,0
5009330,"M","Y","N",0,267750,"Working","Higher education","Married","House / apartment",-20991,-4727,1,0,1,0,"Laborers",2,0
5009335,"F","N","N",0,139500,"Working","Higher education","Separated","House / apartment",-16203,-7100,1,0,0,0,"Managers",1,0
5009338,"M","N","N",0,67500,"Working","Secondary / secondary special","Married","House / apartment",-18674,-5304,1,1,1,0,"Security staff",2,0
5009346,"M","Y","N",0,252000,"Working","Secondary / secondary special","Married","House / apartment",-10750,-2443,1,0,0,0,"High skill tech staff",2,0
5009354,"M","N","N",0,180000,"Commercial associate","Lower secondary","Married","House / apartment",-21155,-130,1,0,1,0,"Drivers",2,0
5009364,"M","Y","N",0,180000,"Commercial associate","Higher education","Civil marriage","House / apartment",-14867,-586,1,1,0,0,"Drivers",2,0
5009365,"M","Y","N",0,180000,"Commercial associate","Higher education","Civil marriage","House / apartment",-14867,-586,1,1,0,0,"Drivers",2,0
5009366,"M","Y","N",0,180000,"Commercial associate","Higher education","Civil marriage","House / apartment",-14867,-586,1,1,0,0,"Drivers",2,0
5009383,"F","N","N",0,450000,"State servant","Higher education","Married","House / apartment",-14718,-5578,1,0,1,0,"Managers",2,0
5009384,"F","N","N",0,450000,"State servant","Higher education","Married","House / apartment",-14718,-5578,1,0,1,0,"Managers",2,0
5009387,"F","N","N",0,450000,"State servant","Higher education","Married","House / apartment",-14718,-5578,1,0,1,0,"Managers",2,0
5009391,"M","N","N",0,279000,"State servant","Higher education","Single / not married","House / apartment",-11042,-3174,1,0,0,0,"Core staff",1,0
5009393,"M","N","N",0,279000,"State servant","Higher education","Single / not married","House / apartment",-11042,-3174,1,0,0,0,"Core staff",1,0
5009394,"M","N","N",0,279000,"State servant","Higher education","Single / not married","House / apartment",-11042,-3174,1,0,0,0,"Core staff",1,0
5009400,"F","N","N",1,76500,"Working","Higher education","Civil marriage","House / apartment",-12506,-495,1,1,0,0,"Accountants",3,0
5009402,"M","N","N",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-20604,-252,1,1,1,0,"Security staff",2,0
5009410,"M","N","N",0,234000,"Working","Incomplete higher","Married","House / apartment",-13923,-2290,1,1,1,0,"Drivers",2,0
5009415,"F","N","N",0,90000,"Working","Secondary / secondary special","Single / not married","House / apartment",-19304,-464,1,1,1,0,"Core staff",1,1
5009425,"M","N","N",0,108000,"Working","Secondary / secondary special","Single / not married","Co-op apartment",-8182,-1317,1,1,0,0,"Cooking staff",1,0
5009426,"M","N","N",0,99000,"Pensioner","Secondary / secondary special","Married","House / apartment",-19944,365243,1,0,0,0,"",2,0
5009428,"M","N","N",0,198000,"Working","Secondary / secondary special","Single / not married","With parents",-8657,-1164,1,1,0,0,"Laborers",1,0
5009429,"M","N","N",0,198000,"Working","Secondary / secondary special","Single / not married","With parents",-8657,-1164,1,1,0,0,"Laborers",1,0
5009431,"M","Y","N",0,360000,"State servant","Higher education","Married","Municipal apartment",-14835,-1195,1,1,1,0,"Drivers",2,0
5009435,"F","N","N",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-19940,365243,1,0,1,0,"",2,0
5009436,"F","N","N",0,76500,"Pensioner","Secondary / secondary special","Married","House / apartment",-23480,365243,1,0,0,0,"",2,0
5009441,"F","N","N",0,90000,"State servant","Secondary / secondary special","Married","House / apartment",-9489,-1682,1,0,1,0,"",2,0
5009444,"F","N","N",0,90000,"State servant","Secondary / secondary special","Married","House / apartment",-9489,-1682,1,0,1,0,"",2,0
5009447,"M","Y","N",0,81000,"Working","Secondary / secondary special","Married","With parents",-14435,-3386,1,1,0,0,"Drivers",2,0
5009454,"F","N","N",0,202500,"State servant","Higher education","Married","House / apartment",-17274,-1348,1,0,1,0,"Laborers",2,0
5009465,"F","N","N",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-19702,-9870,1,1,1,0,"",2,0
5009469,"F","N","N",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-19702,-9870,1,1,1,0,"",2,0
5009472,"F","N","N",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-19702,-9870,1,1,1,0,"",2,0
5009481,"F","N","N",0,180000,"Commercial associate","Higher education","Married","House / apartment",-13241,-4451,1,0,1,0,"",2,0
5009485,"F","N","N",0,135000,"Working","Secondary / secondary special","Married","Municipal apartment",-12130,-798,1,0,0,0,"Cooking staff",2,0
5009487,"F","N","N",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-9736,-2870,1,0,0,0,"",4,0
5009488,"F","N","N",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-9736,-2870,1,0,0,0,"",4,0
5009489,"F","N","N",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-9736,-2870,1,0,0,0,"",4,0
5009492,"M","Y","N",0,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-16196,-6218,1,1,1,0,"Laborers",2,0
5009493,"M","Y","N",0,270000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-11706,-1164,1,1,0,1,"Drivers",2,0
5009495,"M","Y","N",0,270000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-11706,-1164,1,1,0,1,"Drivers",2,0
5009499,"M","Y","N",0,270000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-11706,-1164,1,1,0,1,"Drivers",2,0
5009500,"M","Y","N",0,270000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-11706,-1164,1,1,0,1,"Drivers",2,0
5009507,"F","N","N",0,202500,"Working","Higher education","Married","House / apartment",-16100,-4939,1,0,1,0,"Core staff",2,0
5009508,"F","N","N",0,202500,"Working","Higher education","Married","House / apartment",-16100,-4939,1,0,1,0,"Core staff",2,0
5009509,"F","N","N",0,202500,"Working","Higher education","Married","House / apartment",-16100,-4939,1,0,1,0,"Core staff",2,0
5009512,"F","N","N",0,157500,"Working","Incomplete higher","Married","House / apartment",-16888,-2687,1,0,0,0,"Core staff",2,0
5009517,"F","N","N",0,157500,"Working","Incomplete higher","Married","House / apartment",-16888,-2687,1,0,0,0,"Core staff",2,0
5009523,"M","Y","N",1,112500,"Working","Secondary / secondary special","Separated","Co-op apartment",-11998,-1135,1,1,0,0,"Laborers",2,0
5009524,"M","Y","N",1,112500,"Working","Secondary / secondary special","Separated","Co-op apartment",-11998,-1135,1,1,0,0,"Laborers",2,1
5009526,"F","Y","N",0,157500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13590,-982,1,0,1,0,"",2,0
5009540,"F","Y","N",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15527,-1744,1,1,1,0,"Sales staff",2,0
5009541,"F","Y","N",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15527,-1744,1,1,1,0,"Sales staff",2,0
5009556,"F","N","N",0,198000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-18813,-9748,1,0,0,0,"Laborers",2,1
5009566,"M","Y","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-15153,-3143,1,1,1,0,"Laborers",2,0
5009569,"M","Y","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-15153,-3143,1,1,1,0,"Laborers",2,0
5009570,"M","Y","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-15153,-3143,1,1,1,0,"Laborers",2,0
5009573,"M","Y","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-15153,-3143,1,1,1,0,"Laborers",2,0
5009575,"F","Y","N",0,315000,"Working","Secondary / secondary special","Married","House / apartment",-17074,-798,1,0,0,0,"Accountants",2,0
5009576,"F","Y","N",0,315000,"Working","Secondary / secondary special","Married","House / apartment",-17074,-798,1,0,0,0,"Accountants",2,0
5009581,"F","N","N",0,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",-21316,365243,1,0,0,0,"",2,0
5009583,"F","N","N",0,90000,"Working","Secondary / secondary special","Separated","House / apartment",-11682,-678,1,0,0,0,"Sales staff",1,0
5009584,"F","N","N",0,90000,"Working","Secondary / secondary special","Separated","House / apartment",-11682,-678,1,0,0,0,"Sales staff",1,0
5009590,"F","Y","N",0,225000,"Working","Secondary / secondary special","Married","House / apartment",-8488,-1835,1,0,1,0,"",2,0
5009595,"F","Y","N",0,144000,"Working","Secondary / secondary special","Married","House / apartment",-17383,-890,1,1,1,0,"Core staff",2,0
5009599,"F","Y","N",0,144000,"Working","Secondary / secondary special","Married","House / apartment",-17383,-890,1,1,1,0,"Core staff",2,0
5009600,"F","Y","N",0,144000,"Working","Secondary / secondary special","Married","House / apartment",-17383,-890,1,1,1,0,"Core staff",2,0
5009602,"F","Y","N",0,315000,"Commercial associate","Higher education","Married","House / apartment",-13455,-2748,1,1,1,0,"Sales staff",2,0
5009603,"F","N","N",1,112500,"Working","Secondary / secondary special","Married","House / apartment",-12872,-3720,1,1,0,0,"Sales staff",3,0
5009607,"F","N","N",2,144000,"Working","Secondary / secondary special","Married","House / apartment",-12277,-982,1,1,1,0,"High skill tech staff",4,0
5009610,"F","N","N",2,144000,"Working","Secondary / secondary special","Married","House / apartment",-12277,-982,1,1,1,0,"High skill tech staff",4,0
5009612,"F","N","N",2,144000,"Working","Secondary / secondary special","Married","House / apartment",-12277,-982,1,1,1,0,"High skill tech staff",4,0
5009613,"F","N","N",2,144000,"Working","Secondary / secondary special","Married","House / apartment",-12277,-982,1,1,1,0,"High skill tech staff",4,0
5009614,"F","N","N",2,144000,"Working","Secondary / secondary special","Married","House / apartment",-12277,-982,1,1,1,0,"High skill tech staff",4,0
5009618,"M","Y","N",0,225000,"Pensioner","Secondary / secondary special","Married","House / apartment",-17367,365243,1,0,0,0,"",2,0
5009623,"M","Y","N",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-19056,-99,1,1,0,0,"Drivers",2,0
5009624,"M","Y","N",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-19056,-99,1,1,0,0,"Drivers",2,0
5009631,"F","N","N",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-9890,-2047,1,0,1,0,"Laborers",2,0
5009638,"F","N","N",0,90000,"Pensioner","Secondary / secondary special","Married","House / apartment",-21426,365243,1,0,1,0,"",2,0
5009646,"M","N","N",0,117000,"Working","Secondary / secondary special","Single / not married","House / apartment",-14689,-3661,1,1,0,0,"Low-skill Laborers",1,0
5009647,"M","N","N",0,117000,"Working","Secondary / secondary special","Single / not married","House / apartment",-14689,-3661,1,1,0,0,"Low-skill Laborers",1,0
5009655,"F","N","N",0,135000,"State servant","Secondary / secondary special","Married","House / apartment",-18650,-10936,1,0,1,0,"",2,0
5009656,"F","N","N",0,135000,"State servant","Secondary / secondary special","Married","House / apartment",-18650,-10936,1,0,1,0,"",2,0
5009661,"M","N","N",0,225000,"Working","Higher education","Single / not married","House / apartment",-10166,-1774,1,1,0,0,"",1,0
5009663,"M","N","N",0,225000,"Working","Higher education","Single / not married","House / apartment",-10166,-1774,1,1,0,0,"",1,0
5009665,"F","N","N",0,126000,"Pensioner","Secondary / secondary special","Separated","House / apartment",-19191,365243,1,0,0,0,"",1,0
5009680,"F","N","N",0,90000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-21688,365243,1,0,1,0,"",1,0
5009691,"F","N","N",0,153000,"Pensioner","Secondary / secondary special","Separated","House / apartment",-23299,365243,1,0,1,0,"",1,0
5009695,"M","Y","N",0,1350000,"Commercial associate","Higher education","Married","Municipal apartment",-12999,-1560,1,0,1,1,"Managers",2,0
5009700,"M","Y","N",0,1350000,"Commercial associate","Higher education","Married","Municipal apartment",-12999,-1560,1,0,1,1,"Managers",2,0
5009702,"F","N","N",0,139500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20863,365243,1,0,0,0,"",2,0
5009703,"F","N","N",0,139500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20863,365243,1,0,0,0,"",2,0
5009704,"F","N","N",0,139500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20863,365243,1,0,0,0,"",2,0
